kandidatas,nuo_galiojanciu_biuleteniu,balsadezeje,nuo_rinkeju,pastu,apylinke
Svetlana SENDŽIKIENĖ,"18,62%",17,"18,32%",18,Kaniukų  (Nr.26) apylinkė  
Edmundas PUPINIS,"29,33%",141,"27,94%",42,Užpalių  (Nr.25) apylinkė  
Valentinas BUBULIS,"27,08%",142,"25,80%",27,Užpalių  (Nr.25) apylinkė  
Ingrida VALINSKIENĖ,"13,30%",68,"12,67%",15,Užpalių  (Nr.25) apylinkė  
Kazys ZULONAS,"7,85%",36,"7,48%",13,Užpalių  (Nr.25) apylinkė  
Gintaras VIDŽIŪNAS,"9,94%",51,"9,47%",11,Užpalių  (Nr.25) apylinkė  
Marijus KAUKĖNAS,"1,92%",7,"1,83%",5,Užpalių  (Nr.25) apylinkė  
Vaclovas SAMUOLIS,"2,88%",17,"2,75%",1,Užpalių  (Nr.25) apylinkė  
Jonas KOVALSKIS,"3,21%",18,"3,05%",2,Užpalių  (Nr.25) apylinkė  
Svetlana SENDŽIKIENĖ,"4,49%",24,"4,27%",4,Užpalių  (Nr.25) apylinkė  
Edmundas PUPINIS,"35,55%",70,"33,46%",21,Vaikutėnų  (Nr.24) apylinkė  
Valentinas BUBULIS,"18,36%",42,"17,28%",5,Vaikutėnų  (Nr.24) apylinkė  
Ingrida VALINSKIENĖ,"9,38%",19,"8,82%",5,Vaikutėnų  (Nr.24) apylinkė  
Kazys ZULONAS,"10,55%",22,"9,93%",5,Vaikutėnų  (Nr.24) apylinkė  
Gintaras VIDŽIŪNAS,"15,23%",29,"14,34%",10,Vaikutėnų  (Nr.24) apylinkė  
Marijus KAUKĖNAS,"2,73%",7,"2,57%",0,Vaikutėnų  (Nr.24) apylinkė  
Vaclovas SAMUOLIS,"3,52%",9,"3,31%",0,Vaikutėnų  (Nr.24) apylinkė  
Jonas KOVALSKIS,"3,52%",9,"3,31%",0,Vaikutėnų  (Nr.24) apylinkė  
Svetlana SENDŽIKIENĖ,"1,17%",2,"1,10%",1,Vaikutėnų  (Nr.24) apylinkė  
Edmundas PUPINIS,"43,11%",116,"41,26%",28,Biliakiemio  (Nr.23) apylinkė  
Valentinas BUBULIS,"8,98%",29,"8,60%",1,Biliakiemio  (Nr.23) apylinkė  
Ingrida VALINSKIENĖ,"22,16%",72,"21,20%",2,Biliakiemio  (Nr.23) apylinkė  
Kazys ZULONAS,"8,98%",28,"8,60%",2,Biliakiemio  (Nr.23) apylinkė  
Gintaras VIDŽIŪNAS,"7,49%",24,"7,16%",1,Biliakiemio  (Nr.23) apylinkė  
Marijus KAUKĖNAS,"1,80%",6,"1,72%",0,Biliakiemio  (Nr.23) apylinkė  
Vaclovas SAMUOLIS,"5,39%",15,"5,16%",3,Biliakiemio  (Nr.23) apylinkė  
Jonas KOVALSKIS,"0,60%",2,"0,57%",0,Biliakiemio  (Nr.23) apylinkė  
Svetlana SENDŽIKIENĖ,"1,50%",5,"1,43%",0,Biliakiemio  (Nr.23) apylinkė  
Edmundas PUPINIS,"31,25%",100,"30,26%",15,Pačkėnų  (Nr.22) apylinkė  
Valentinas BUBULIS,"16,30%",54,"15,79%",6,Pačkėnų  (Nr.22) apylinkė  
Ingrida VALINSKIENĖ,"16,85%",61,"16,32%",1,Pačkėnų  (Nr.22) apylinkė  
Kazys ZULONAS,"8,15%",27,"7,89%",3,Pačkėnų  (Nr.22) apylinkė  
Gintaras VIDŽIŪNAS,"6,25%",22,"6,05%",1,Pačkėnų  (Nr.22) apylinkė  
Marijus KAUKĖNAS,"3,80%",13,"3,68%",1,Pačkėnų  (Nr.22) apylinkė  
Vaclovas SAMUOLIS,"2,45%",9,"2,37%",0,Pačkėnų  (Nr.22) apylinkė  
Jonas KOVALSKIS,"3,26%",9,"3,16%",3,Pačkėnų  (Nr.22) apylinkė  
Svetlana SENDŽIKIENĖ,"11,68%",41,"11,32%",2,Pačkėnų  (Nr.22) apylinkė  
Edmundas PUPINIS,"41,15%",233,"38,64%",46,Tauragnų  (Nr.21) apylinkė  
Valentinas BUBULIS,"13,42%",70,"12,60%",21,Tauragnų  (Nr.21) apylinkė  
Ingrida VALINSKIENĖ,"11,95%",74,"11,22%",7,Tauragnų  (Nr.21) apylinkė  
Kazys ZULONAS,"7,67%",48,"7,20%",4,Tauragnų  (Nr.21) apylinkė  
Gintaras VIDŽIŪNAS,"7,96%",26,"7,48%",28,Tauragnų  (Nr.21) apylinkė  
Marijus KAUKĖNAS,"1,92%",11,"1,80%",2,Tauragnų  (Nr.21) apylinkė  
Vaclovas SAMUOLIS,"2,95%",17,"2,77%",3,Tauragnų  (Nr.21) apylinkė  
Jonas KOVALSKIS,"10,03%",64,"9,42%",4,Tauragnų  (Nr.21) apylinkė  
Svetlana SENDŽIKIENĖ,"2,95%",12,"2,77%",8,Tauragnų  (Nr.21) apylinkė  
Edmundas PUPINIS,"35,65%",77,"34,75%",5,Sirutėnų  (Nr.20) apylinkė  
Valentinas BUBULIS,"12,17%",25,"11,86%",3,Sirutėnų  (Nr.20) apylinkė  
Ingrida VALINSKIENĖ,"16,09%",35,"15,68%",2,Sirutėnų  (Nr.20) apylinkė  
Kazys ZULONAS,"13,04%",27,"12,71%",3,Sirutėnų  (Nr.20) apylinkė  
Gintaras VIDŽIŪNAS,"9,13%",20,"8,90%",1,Sirutėnų  (Nr.20) apylinkė  
Marijus KAUKĖNAS,"2,61%",6,"2,54%",0,Sirutėnų  (Nr.20) apylinkė  
Vaclovas SAMUOLIS,"3,48%",7,"3,39%",1,Sirutėnų  (Nr.20) apylinkė  
Jonas KOVALSKIS,"3,91%",9,"3,81%",0,Sirutėnų  (Nr.20) apylinkė  
Svetlana SENDŽIKIENĖ,"3,91%",8,"3,81%",1,Sirutėnų  (Nr.20) apylinkė  
Edmundas PUPINIS,"31,29%",71,"29,39%",21,Sudeikių  (Nr.19) apylinkė  
Valentinas BUBULIS,"21,77%",57,"20,45%",7,Sudeikių  (Nr.19) apylinkė  
Ingrida VALINSKIENĖ,"12,24%",27,"11,50%",9,Sudeikių  (Nr.19) apylinkė  
Kazys ZULONAS,"9,18%",21,"8,63%",6,Sudeikių  (Nr.19) apylinkė  
Gintaras VIDŽIŪNAS,"12,93%",28,"12,14%",10,Sudeikių  (Nr.19) apylinkė  
Marijus KAUKĖNAS,"2,72%",7,"2,56%",1,Sudeikių  (Nr.19) apylinkė  
Vaclovas SAMUOLIS,"4,42%",11,"4,15%",2,Sudeikių  (Nr.19) apylinkė  
Jonas KOVALSKIS,"2,72%",8,"2,56%",0,Sudeikių  (Nr.19) apylinkė  
Svetlana SENDŽIKIENĖ,"2,72%",6,"2,56%",2,Sudeikių  (Nr.19) apylinkė  
Edmundas PUPINIS,"33,67%",43,"32,04%",23,Kirdeikių  (Nr.18) apylinkė  
Valentinas BUBULIS,"13,27%",18,"12,62%",8,Kirdeikių  (Nr.18) apylinkė  
Ingrida VALINSKIENĖ,"11,22%",15,"10,68%",7,Kirdeikių  (Nr.18) apylinkė  
Kazys ZULONAS,"6,63%",10,"6,31%",3,Kirdeikių  (Nr.18) apylinkė  
Gintaras VIDŽIŪNAS,"21,43%",21,"20,39%",21,Kirdeikių  (Nr.18) apylinkė  
Marijus KAUKĖNAS,"3,06%",5,"2,91%",1,Kirdeikių  (Nr.18) apylinkė  
Vaclovas SAMUOLIS,"4,59%",9,"4,37%",0,Kirdeikių  (Nr.18) apylinkė  
Jonas KOVALSKIS,"1,53%",3,"1,46%",0,Kirdeikių  (Nr.18) apylinkė  
Svetlana SENDŽIKIENĖ,"4,59%",7,"4,37%",2,Kirdeikių  (Nr.18) apylinkė  
Edmundas PUPINIS,"37,90%",83,"35,95%",36,Saldutiškio  (Nr.17) apylinkė  
Valentinas BUBULIS,"11,15%",29,"10,57%",6,Saldutiškio  (Nr.17) apylinkė  
Ingrida VALINSKIENĖ,"15,92%",46,"15,11%",4,Saldutiškio  (Nr.17) apylinkė  
Kazys ZULONAS,"5,10%",13,"4,83%",3,Saldutiškio  (Nr.17) apylinkė  
Gintaras VIDŽIŪNAS,"16,56%",42,"15,71%",10,Saldutiškio  (Nr.17) apylinkė  
Marijus KAUKĖNAS,"3,18%",5,"3,02%",5,Saldutiškio  (Nr.17) apylinkė  
Vaclovas SAMUOLIS,"3,82%",7,"3,63%",5,Saldutiškio  (Nr.17) apylinkė  
Jonas KOVALSKIS,"1,27%",4,"1,21%",0,Saldutiškio  (Nr.17) apylinkė  
Svetlana SENDŽIKIENĖ,"5,10%",9,"4,83%",7,Saldutiškio  (Nr.17) apylinkė  
Edmundas PUPINIS,"38,07%",144,"36,40%",30,Pakalnių  (Nr.16) apylinkė  
Valentinas BUBULIS,"14,66%",57,"14,02%",10,Pakalnių  (Nr.16) apylinkė  
Ingrida VALINSKIENĖ,"15,97%",69,"15,27%",4,Pakalnių  (Nr.16) apylinkė  
Kazys ZULONAS,"7,44%",30,"7,11%",4,Pakalnių  (Nr.16) apylinkė  
Gintaras VIDŽIŪNAS,"12,69%",51,"12,13%",7,Pakalnių  (Nr.16) apylinkė  
Marijus KAUKĖNAS,"3,50%",13,"3,35%",3,Pakalnių  (Nr.16) apylinkė  
Vaclovas SAMUOLIS,"2,19%",9,"2,09%",1,Pakalnių  (Nr.16) apylinkė  
Jonas KOVALSKIS,"2,41%",11,"2,30%",0,Pakalnių  (Nr.16) apylinkė  
Svetlana SENDŽIKIENĖ,"3,06%",9,"2,93%",5,Pakalnių  (Nr.16) apylinkė  
Edmundas PUPINIS,"34,62%",122,"33,10%",22,Antalgės  (Nr.15) apylinkė  
Valentinas BUBULIS,"32,69%",122,"31,26%",14,Antalgės  (Nr.15) apylinkė  
Ingrida VALINSKIENĖ,"13,46%",48,"12,87%",8,Antalgės  (Nr.15) apylinkė  
Kazys ZULONAS,"6,73%",21,"6,44%",7,Antalgės  (Nr.15) apylinkė  
Gintaras VIDŽIŪNAS,"5,53%",22,"5,29%",1,Antalgės  (Nr.15) apylinkė  
Marijus KAUKĖNAS,"1,44%",5,"1,38%",1,Antalgės  (Nr.15) apylinkė  
Vaclovas SAMUOLIS,"0,96%",3,"0,92%",1,Antalgės  (Nr.15) apylinkė  
Jonas KOVALSKIS,"2,40%",10,"2,30%",0,Antalgės  (Nr.15) apylinkė  
Svetlana SENDŽIKIENĖ,"2,16%",8,"2,07%",1,Antalgės  (Nr.15) apylinkė  
Edmundas PUPINIS,"36,18%",105,"34,79%",22,Leliūnų  (Nr.14) apylinkė  
Valentinas BUBULIS,"18,52%",52,"17,81%",13,Leliūnų  (Nr.14) apylinkė  
Ingrida VALINSKIENĖ,"8,83%",29,"8,49%",2,Leliūnų  (Nr.14) apylinkė  
Kazys ZULONAS,"12,25%",36,"11,78%",7,Leliūnų  (Nr.14) apylinkė  
Gintaras VIDŽIŪNAS,"13,96%",36,"13,42%",13,Leliūnų  (Nr.14) apylinkė  
Marijus KAUKĖNAS,"3,13%",10,"3,01%",1,Leliūnų  (Nr.14) apylinkė  
Vaclovas SAMUOLIS,"3,13%",9,"3,01%",2,Leliūnų  (Nr.14) apylinkė  
Jonas KOVALSKIS,"1,71%",6,"1,64%",0,Leliūnų  (Nr.14) apylinkė  
Svetlana SENDŽIKIENĖ,"2,28%",6,"2,19%",2,Leliūnų  (Nr.14) apylinkė  
Edmundas PUPINIS,"36,30%",95,"33,74%",15,Kuktiškių  (Nr.13) apylinkė  
Valentinas BUBULIS,"14,85%",43,"13,80%",2,Kuktiškių  (Nr.13) apylinkė  
Ingrida VALINSKIENĖ,"15,84%",47,"14,72%",1,Kuktiškių  (Nr.13) apylinkė  
Kazys ZULONAS,"3,63%",10,"3,37%",1,Kuktiškių  (Nr.13) apylinkė  
Gintaras VIDŽIŪNAS,"13,20%",35,"12,27%",5,Kuktiškių  (Nr.13) apylinkė  
Marijus KAUKĖNAS,"1,98%",6,"1,84%",0,Kuktiškių  (Nr.13) apylinkė  
Vaclovas SAMUOLIS,"5,94%",16,"5,52%",2,Kuktiškių  (Nr.13) apylinkė  
Jonas KOVALSKIS,"4,62%",14,"4,29%",0,Kuktiškių  (Nr.13) apylinkė  
Svetlana SENDŽIKIENĖ,"3,63%",10,"3,37%",1,Kuktiškių  (Nr.13) apylinkė  
Edmundas PUPINIS,"48,84%",39,"45,65%",3,Juknėnų  (Nr.12) apylinkė  
Valentinas BUBULIS,"23,26%",16,"21,74%",4,Juknėnų  (Nr.12) apylinkė  
Ingrida VALINSKIENĖ,"10,47%",8,"9,78%",1,Juknėnų  (Nr.12) apylinkė  
Kazys ZULONAS,"2,33%",2,"2,17%",0,Juknėnų  (Nr.12) apylinkė  
Gintaras VIDŽIŪNAS,"8,14%",7,"7,61%",0,Juknėnų  (Nr.12) apylinkė  
Marijus KAUKĖNAS,"2,33%",1,"2,17%",1,Juknėnų  (Nr.12) apylinkė  
Vaclovas SAMUOLIS,"2,33%",2,"2,17%",0,Juknėnų  (Nr.12) apylinkė  
Jonas KOVALSKIS,"1,16%",1,"1,09%",0,Juknėnų  (Nr.12) apylinkė  
Svetlana SENDŽIKIENĖ,"1,16%",1,"1,09%",0,Juknėnų  (Nr.12) apylinkė  
Edmundas PUPINIS,"26,46%",46,"25,37%",22,Radeikių  (Nr.11) apylinkė  
Valentinas BUBULIS,"19,84%",37,"19,03%",14,Radeikių  (Nr.11) apylinkė  
Ingrida VALINSKIENĖ,"17,51%",39,"16,79%",6,Radeikių  (Nr.11) apylinkė  
Kazys ZULONAS,"7,00%",14,"6,72%",4,Radeikių  (Nr.11) apylinkė  
Gintaras VIDŽIŪNAS,"13,23%",26,"12,69%",8,Radeikių  (Nr.11) apylinkė  
Marijus KAUKĖNAS,"0,78%",2,"0,75%",0,Radeikių  (Nr.11) apylinkė  
Vaclovas SAMUOLIS,"9,73%",18,"9,33%",7,Radeikių  (Nr.11) apylinkė  
Jonas KOVALSKIS,"1,56%",3,"1,49%",1,Radeikių  (Nr.11) apylinkė  
Svetlana SENDŽIKIENĖ,"3,89%",8,"3,73%",2,Radeikių  (Nr.11) apylinkė  
Edmundas PUPINIS,"34,69%",64,"32,75%",30,Daugailių  (Nr.10) apylinkė  
Valentinas BUBULIS,"25,83%",58,"24,39%",12,Daugailių  (Nr.10) apylinkė  
Ingrida VALINSKIENĖ,"9,59%",25,"9,06%",1,Daugailių  (Nr.10) apylinkė  
Kazys ZULONAS,"8,49%",21,"8,01%",2,Daugailių  (Nr.10) apylinkė  
Gintaras VIDŽIŪNAS,"8,12%",10,"7,67%",12,Daugailių  (Nr.10) apylinkė  
Marijus KAUKĖNAS,"5,17%",9,"4,88%",5,Daugailių  (Nr.10) apylinkė  
Vaclovas SAMUOLIS,"2,95%",6,"2,79%",2,Daugailių  (Nr.10) apylinkė  
Jonas KOVALSKIS,"2,95%",8,"2,79%",0,Daugailių  (Nr.10) apylinkė  
Svetlana SENDŽIKIENĖ,"2,21%",6,"2,09%",0,Daugailių  (Nr.10) apylinkė  
Edmundas PUPINIS,"39,20%",527,"38,13%",14,Krašuonos  (Nr.9) apylinkė  
Valentinas BUBULIS,"13,62%",178,"13,25%",10,Krašuonos  (Nr.9) apylinkė  
Ingrida VALINSKIENĖ,"15,43%",209,"15,01%",4,Krašuonos  (Nr.9) apylinkė  
Kazys ZULONAS,"9,86%",130,"9,58%",6,Krašuonos  (Nr.9) apylinkė  
Gintaras VIDŽIŪNAS,"7,46%",99,"7,26%",4,Krašuonos  (Nr.9) apylinkė  
Marijus KAUKĖNAS,"5,00%",66,"4,86%",3,Krašuonos  (Nr.9) apylinkė  
Vaclovas SAMUOLIS,"5,65%",74,"5,50%",4,Krašuonos  (Nr.9) apylinkė  
Jonas KOVALSKIS,"2,46%",34,"2,40%",0,Krašuonos  (Nr.9) apylinkė  
Svetlana SENDŽIKIENĖ,"1,30%",18,"1,27%",0,Krašuonos  (Nr.9) apylinkė  
Edmundas PUPINIS,"42,94%",511,"41,54%",39,Ąžuolijos  (Nr.8) apylinkė  
Valentinas BUBULIS,"16,55%",198,"16,01%",14,Ąžuolijos  (Nr.8) apylinkė  
Ingrida VALINSKIENĖ,"11,48%",144,"11,10%",3,Ąžuolijos  (Nr.8) apylinkė  
Kazys ZULONAS,"7,49%",92,"7,25%",4,Ąžuolijos  (Nr.8) apylinkė  
Gintaras VIDŽIŪNAS,"8,04%",98,"7,78%",5,Ąžuolijos  (Nr.8) apylinkė  
Marijus KAUKĖNAS,"8,35%",107,"8,08%",0,Ąžuolijos  (Nr.8) apylinkė  
Vaclovas SAMUOLIS,"2,03%",22,"1,96%",4,Ąžuolijos  (Nr.8) apylinkė  
Jonas KOVALSKIS,"2,50%",30,"2,42%",2,Ąžuolijos  (Nr.8) apylinkė  
Svetlana SENDŽIKIENĖ,"0,62%",8,"0,60%",0,Ąžuolijos  (Nr.8) apylinkė  
Edmundas PUPINIS,"44,76%",535,"42,38%",46,Basanavičiaus  (Nr.7) apylinkė  
Valentinas BUBULIS,"16,26%",195,"15,39%",16,Basanavičiaus  (Nr.7) apylinkė  
Ingrida VALINSKIENĖ,"14,18%",176,"13,42%",8,Basanavičiaus  (Nr.7) apylinkė  
Kazys ZULONAS,"7,78%",98,"7,37%",3,Basanavičiaus  (Nr.7) apylinkė  
Gintaras VIDŽIŪNAS,"8,63%",102,"8,17%",10,Basanavičiaus  (Nr.7) apylinkė  
Marijus KAUKĖNAS,"3,47%",42,"3,28%",3,Basanavičiaus  (Nr.7) apylinkė  
Vaclovas SAMUOLIS,"2,39%",30,"2,26%",1,Basanavičiaus  (Nr.7) apylinkė  
Jonas KOVALSKIS,"1,93%",24,"1,82%",1,Basanavičiaus  (Nr.7) apylinkė  
Svetlana SENDŽIKIENĖ,"0,62%",8,"0,58%",0,Basanavičiaus  (Nr.7) apylinkė  
Edmundas PUPINIS,"35,94%",281,"33,66%",27,Centro  (Nr.6) apylinkė  
Valentinas BUBULIS,"18,32%",148,"17,16%",9,Centro  (Nr.6) apylinkė  
Ingrida VALINSKIENĖ,"10,62%",88,"9,95%",3,Centro  (Nr.6) apylinkė  
Kazys ZULONAS,"14,24%",113,"13,33%",9,Centro  (Nr.6) apylinkė  
Gintaras VIDŽIŪNAS,"10,85%",86,"10,16%",7,Centro  (Nr.6) apylinkė  
Marijus KAUKĖNAS,"3,62%",30,"3,39%",1,Centro  (Nr.6) apylinkė  
Vaclovas SAMUOLIS,"3,27%",28,"3,06%",0,Centro  (Nr.6) apylinkė  
Jonas KOVALSKIS,"2,45%",18,"2,30%",3,Centro  (Nr.6) apylinkė  
Svetlana SENDŽIKIENĖ,"0,70%",4,"0,66%",2,Centro  (Nr.6) apylinkė  
Edmundas PUPINIS,"40,69%",503,"39,07%",28,Vyturių  (Nr.5) apylinkė  
Valentinas BUBULIS,"15,79%",199,"15,16%",7,Vyturių  (Nr.5) apylinkė  
Ingrida VALINSKIENĖ,"13,64%",174,"13,10%",4,Vyturių  (Nr.5) apylinkė  
Kazys ZULONAS,"12,72%",160,"12,21%",6,Vyturių  (Nr.5) apylinkė  
Gintaras VIDŽIŪNAS,"7,66%",96,"7,36%",4,Vyturių  (Nr.5) apylinkė  
Marijus KAUKĖNAS,"3,98%",50,"3,83%",2,Vyturių  (Nr.5) apylinkė  
Vaclovas SAMUOLIS,"2,22%",27,"2,13%",2,Vyturių  (Nr.5) apylinkė  
Jonas KOVALSKIS,"2,22%",29,"2,13%",0,Vyturių  (Nr.5) apylinkė  
Svetlana SENDŽIKIENĖ,"1,07%",14,"1,03%",0,Vyturių  (Nr.5) apylinkė  
Edmundas PUPINIS,"38,44%",421,"36,69%",13,Dauniškio  (Nr.4) apylinkė  
Valentinas BUBULIS,"17,27%",186,"16,48%",9,Dauniškio  (Nr.4) apylinkė  
Ingrida VALINSKIENĖ,"16,30%",178,"15,55%",6,Dauniškio  (Nr.4) apylinkė  
Kazys ZULONAS,"9,83%",99,"9,38%",12,Dauniškio  (Nr.4) apylinkė  
Gintaras VIDŽIŪNAS,"8,41%",93,"8,03%",2,Dauniškio  (Nr.4) apylinkė  
Marijus KAUKĖNAS,"3,37%",38,"3,21%",0,Dauniškio  (Nr.4) apylinkė  
Vaclovas SAMUOLIS,"3,99%",39,"3,80%",6,Dauniškio  (Nr.4) apylinkė  
Jonas KOVALSKIS,"1,77%",18,"1,69%",2,Dauniškio  (Nr.4) apylinkė  
Svetlana SENDŽIKIENĖ,"0,62%",7,"0,59%",0,Dauniškio  (Nr.4) apylinkė  
Edmundas PUPINIS,"38,51%",522,"37,00%",16,Aušros  (Nr.3) apylinkė  
Valentinas BUBULIS,"17,68%",242,"16,99%",5,Aušros  (Nr.3) apylinkė  
Ingrida VALINSKIENĖ,"13,03%",178,"12,52%",4,Aušros  (Nr.3) apylinkė  
Kazys ZULONAS,"9,74%",132,"9,35%",4,Aušros  (Nr.3) apylinkė  
Gintaras VIDŽIŪNAS,"8,66%",116,"8,32%",5,Aušros  (Nr.3) apylinkė  
Marijus KAUKĖNAS,"4,65%",62,"4,47%",3,Aušros  (Nr.3) apylinkė  
Vaclovas SAMUOLIS,"3,44%",44,"3,30%",4,Aušros  (Nr.3) apylinkė  
Jonas KOVALSKIS,"2,86%",40,"2,75%",0,Aušros  (Nr.3) apylinkė  
Svetlana SENDŽIKIENĖ,"1,43%",20,"1,38%",0,Aušros  (Nr.3) apylinkė  
Edmundas PUPINIS,"37,83%",530,"35,86%",28,Taikos  (Nr.2) apylinkė  
Valentinas BUBULIS,"16,27%",235,"15,42%",5,Taikos  (Nr.2) apylinkė  
Ingrida VALINSKIENĖ,"14,98%",217,"14,20%",4,Taikos  (Nr.2) apylinkė  
Kazys ZULONAS,"9,22%",129,"8,74%",7,Taikos  (Nr.2) apylinkė  
Gintaras VIDŽIŪNAS,"9,02%",130,"8,55%",3,Taikos  (Nr.2) apylinkė  
Marijus KAUKĖNAS,"4,61%",67,"4,37%",1,Taikos  (Nr.2) apylinkė  
Vaclovas SAMUOLIS,"3,39%",49,"3,21%",1,Taikos  (Nr.2) apylinkė  
Jonas KOVALSKIS,"2,85%",42,"2,70%",0,Taikos  (Nr.2) apylinkė  
Svetlana SENDŽIKIENĖ,"1,83%",27,"1,74%",0,Taikos  (Nr.2) apylinkė  
Edmundas PUPINIS,"39,63%",408,"38,16%",16,Aukštakalnio  (Nr.1) apylinkė  
Valentinas BUBULIS,"16,26%",168,"15,66%",6,Aukštakalnio  (Nr.1) apylinkė  
Ingrida VALINSKIENĖ,"16,82%",172,"16,20%",8,Aukštakalnio  (Nr.1) apylinkė  
Kazys ZULONAS,"8,22%",86,"7,92%",2,Aukštakalnio  (Nr.1) apylinkė  
Gintaras VIDŽIŪNAS,"6,92%",73,"6,66%",1,Aukštakalnio  (Nr.1) apylinkė  
Marijus KAUKĖNAS,"5,33%",57,"5,13%",0,Aukštakalnio  (Nr.1) apylinkė  
Vaclovas SAMUOLIS,"2,90%",29,"2,79%",2,Aukštakalnio  (Nr.1) apylinkė  
Jonas KOVALSKIS,"2,99%",32,"2,88%",0,Aukštakalnio  (Nr.1) apylinkė  
Svetlana SENDŽIKIENĖ,"0,93%",9,"0,90%",1,Aukštakalnio  (Nr.1) apylinkė  
Dalia ŠTRAUPAITĖ,"1,57%",12,"1,47%",2,Zarasų vakarų  (Nr.23) apylinkė  
Algimantas DUMBRAVA,"27,95%",166,"26,18%",83,Zarasų vakarų  (Nr.23) apylinkė  
Petras PAPOVAS,"25,25%",199,"23,66%",26,Zarasų vakarų  (Nr.23) apylinkė  
Manfredas ŽYMANTAS,"23,23%",184,"21,77%",23,Zarasų vakarų  (Nr.23) apylinkė  
Algirdas PALECKIS,"6,51%",52,"6,10%",6,Zarasų vakarų  (Nr.23) apylinkė  
Rimantas KUMPIS,"0,34%",2,"0,32%",1,Zarasų vakarų  (Nr.23) apylinkė  
Žilvinas LELEIVA,"7,52%",56,"7,05%",11,Zarasų vakarų  (Nr.23) apylinkė  
Žilvinas ŽUSINAS,"5,50%",46,"5,15%",3,Zarasų vakarų  (Nr.23) apylinkė  
Jurijus SUBOTINAS,"1,12%",9,"1,05%",1,Zarasų vakarų  (Nr.23) apylinkė  
Danutė PRIŠMANTIENĖ,"0,56%",3,"0,53%",2,Zarasų vakarų  (Nr.23) apylinkė  
Georgij MACKEVIČ,"0,45%",2,"0,42%",2,Zarasų vakarų  (Nr.23) apylinkė  
Mahiras GAMZAJEVAS,"0,00%",0,"0,00%",0,Zarasų vakarų  (Nr.23) apylinkė  
Dalia ŠTRAUPAITĖ,"2,07%",30,"1,99%",2,Zarasų rytų  (Nr.22) apylinkė  
Algimantas DUMBRAVA,"20,22%",283,"19,44%",29,Zarasų rytų  (Nr.22) apylinkė  
Petras PAPOVAS,"25,53%",352,"24,55%",42,Zarasų rytų  (Nr.22) apylinkė  
Manfredas ŽYMANTAS,"21,19%",303,"20,37%",24,Zarasų rytų  (Nr.22) apylinkė  
Algirdas PALECKIS,"8,75%",125,"8,41%",10,Zarasų rytų  (Nr.22) apylinkė  
Rimantas KUMPIS,"0,78%",10,"0,75%",2,Zarasų rytų  (Nr.22) apylinkė  
Žilvinas LELEIVA,"7,71%",99,"7,41%",20,Zarasų rytų  (Nr.22) apylinkė  
Žilvinas ŽUSINAS,"9,20%",129,"8,85%",13,Zarasų rytų  (Nr.22) apylinkė  
Jurijus SUBOTINAS,"2,40%",27,"2,31%",10,Zarasų rytų  (Nr.22) apylinkė  
Danutė PRIŠMANTIENĖ,"0,97%",14,"0,93%",1,Zarasų rytų  (Nr.22) apylinkė  
Georgij MACKEVIČ,"0,39%",6,"0,37%",0,Zarasų rytų  (Nr.22) apylinkė  
Mahiras GAMZAJEVAS,"0,78%",12,"0,75%",0,Zarasų rytų  (Nr.22) apylinkė  
Dalia ŠTRAUPAITĖ,"1,44%",7,"1,37%",1,Užtiltės  (Nr.21) apylinkė  
Algimantas DUMBRAVA,"14,23%",68,"13,50%",11,Užtiltės  (Nr.21) apylinkė  
Petras PAPOVAS,"27,39%",117,"25,98%",35,Užtiltės  (Nr.21) apylinkė  
Manfredas ŽYMANTAS,"21,08%",102,"20,00%",15,Užtiltės  (Nr.21) apylinkė  
Algirdas PALECKIS,"9,55%",44,"9,06%",9,Užtiltės  (Nr.21) apylinkė  
Rimantas KUMPIS,"1,62%",7,"1,54%",2,Užtiltės  (Nr.21) apylinkė  
Žilvinas LELEIVA,"14,77%",69,"14,02%",13,Užtiltės  (Nr.21) apylinkė  
Žilvinas ŽUSINAS,"5,59%",27,"5,30%",4,Užtiltės  (Nr.21) apylinkė  
Jurijus SUBOTINAS,"1,44%",7,"1,37%",1,Užtiltės  (Nr.21) apylinkė  
Danutė PRIŠMANTIENĖ,"2,16%",10,"2,05%",2,Užtiltės  (Nr.21) apylinkė  
Georgij MACKEVIČ,"0,36%",1,"0,34%",1,Užtiltės  (Nr.21) apylinkė  
Mahiras GAMZAJEVAS,"0,36%",2,"0,34%",0,Užtiltės  (Nr.21) apylinkė  
Dalia ŠTRAUPAITĖ,"1,41%",1,"1,37%",1,Sadūnų  (Nr.20) apylinkė  
Algimantas DUMBRAVA,"22,54%",26,"21,92%",6,Sadūnų  (Nr.20) apylinkė  
Petras PAPOVAS,"28,17%",34,"27,40%",6,Sadūnų  (Nr.20) apylinkė  
Manfredas ŽYMANTAS,"17,61%",17,"17,12%",8,Sadūnų  (Nr.20) apylinkė  
Algirdas PALECKIS,"7,75%",10,"7,53%",1,Sadūnų  (Nr.20) apylinkė  
Rimantas KUMPIS,"1,41%",1,"1,37%",1,Sadūnų  (Nr.20) apylinkė  
Žilvinas LELEIVA,"8,45%",8,"8,22%",4,Sadūnų  (Nr.20) apylinkė  
Žilvinas ŽUSINAS,"8,45%",12,"8,22%",0,Sadūnų  (Nr.20) apylinkė  
